
15:58:00:498 cBlockDiagram.Ws:  START
15:58:07:271    Reserves n.addLink:  END: 1                                                                            :0.000094
15:58:07:271   Reserves n.addTail:  END                                                                                :0.000918
15:58:07:271   Actual Sales n.addTail:  START
15:58:07:271    Actual Sales n.addLink:  START
15:58:07:271     First Element: Curved Connector 41                                                                    :0.000031
15:58:07:271    Actual Sales n.addLink:  END: 1                                                                        :0.000090
15:58:07:271   Actual Sales n.addTail:  END                                                                            :0.000887
15:58:07:271   Reserves n.addTail:  START
15:58:07:276    Reserves n.addLink:  START
15:58:07:276    Reserves n.addLink:  END: 2                                                                            :0.000059
15:58:07:276   Reserves n.addTail:  END                                                                                :0.001065
15:58:07:276   Reserves.addChild:  START
15:58:07:276    Reserves.addLink:  START
15:58:07:276    Reserves.addLink:  END: 2                                                                              :0.000052
15:58:07:276   Reserves.addChild:  END                                                                                 :0.000480
15:58:07:276   Reserves n-1.addTail:  START
15:58:07:276    Reserves n-1.addLink:  START
15:58:07:276     First Element: Curved Connector 43                                                                    :0.000031
15:58:07:276    Reserves n-1.addLink:  END: 1                                                                          :0.000095
15:58:07:276   Reserves n-1.addTail:  END                                                                              :0.000891
15:58:07:281   Available cash n.addTail:  START
15:58:07:281    Available cash n.addLink:  START
15:58:07:281     First Element: Curved Connector 43                                                                    :0.003214
15:58:07:281    Available cash n.addLink:  END: 1                                                                      :0.003311
15:58:07:281   Available cash n.addTail:  END                                                                          :0.004260
15:58:07:286   Reserves n-1.addTail:  START
15:58:07:286    Reserves n-1.addLink:  START
15:58:07:286    Reserves n-1.addLink:  END: 2                                                                          :0.000057
15:58:07:286   Reserves n-1.addTail:  END                                                                              :0.000928
15:58:07:286   Reserves n.addTail:  START
15:58:07:286    Reserves n.addLink:  START
15:58:07:286    Reserves n.addLink:  END: 3                                                                            :0.000053
15:58:07:286   Reserves n.addTail:  END                                                                                :0.000853
15:58:07:291   Budget COS n.addTail:  START
15:58:07:291    Budget COS n.addLink:  START
15:58:07:291    Budget COS n.addLink:  END: 2                                                                          :0.000056
15:58:07:291   Budget COS n.addTail:  END                                                                              :0.000851
15:58:07:291   Proposed Stock Purchase n.addTail:  START
15:58:07:291    Proposed Stock Purchase n.addLink:  START
15:58:07:291    Proposed Stock Purchase n.addLink:  END: 6                                                             :0.000055
15:58:07:291   Proposed Stock Purchase n.addTail:  END                                                                 :0.000856
15:58:07:291   Stock Purchase n.addTail:  START
15:58:07:296    Stock Purchase n.addLink:  START
15:58:07:296     First Element: Curved Connector 46                                                                    :0.000033
15:58:07:296    Stock Purchase n.addLink:  END: 1                                                                      :0.000095
15:58:07:296   Stock Purchase n.addTail:  END                                                                          :0.000978
15:58:07:296   Actual COS n.addTail:  START
15:58:07:296    Actual COS n.addLink:  START
15:58:07:296    Actual COS n.addLink:  END: 3                                                                          :0.000053
15:58:07:296   Actual COS n.addTail:  END                                                                              :0.000850
15:58:07:296   Costs and provisions n.addTail:  START
15:58:07:296    Costs and provisions n.addLink:  START
15:58:07:296     First Element: Curved Connector 47                                                                    :0.000032
15:58:07:296    Costs and provisions n.addLink:  END: 1                                                                :0.000092
15:58:07:296   Costs and provisions n.addTail:  END                                                                    :0.000886
15:58:07:301   Reserves n.addTail:  START
15:58:07:301    Reserves n.addLink:  START
15:58:07:301    Reserves n.addLink:  END: 4                                                                            :0.000052
15:58:07:301   Reserves n.addTail:  END                                                                                :0.000848
15:58:07:301   Available cash n.addTail:  START
15:58:07:301    Available cash n.addLink:  START
15:58:07:301     First Element: Curved Connector 48                                                                    :0.000031
15:58:07:301    Available cash n.addLink:  END: 1                                                                      :0.000094
15:58:07:301   Available cash n.addTail:  END                                                                          :0.000887
15:58:07:301   Stock Purchase n.addTail:  START
15:58:07:306    Stock Purchase n.addLink:  START
15:58:07:306    Stock Purchase n.addLink:  END: 3                                                                      :0.000056
15:58:07:306   Stock Purchase n.addTail:  END                                                                          :0.000983
15:58:07:306   ROP (re-order ppoint).addChild:  START
15:58:07:306    ROP (re-order ppoint).addLink:  START
15:58:07:306     First Element: ROP (re-order ppoint) n                                                                :0.000031
15:58:07:306    ROP (re-order ppoint).addLink:  END: 1                                                                 :0.000092
15:58:07:306   ROP (re-order ppoint).addChild:  END                                                                    :0.000513
15:58:07:306   ROP (re-order ppoint) n.addTail:  START
15:58:07:306    ROP (re-order ppoint) n.addLink:  START
15:58:07:306     First Element: Curved Connector 50                                                                    :0.000031
15:58:07:306    ROP (re-order ppoint) n.addLink:  END: 1                                                               :0.000092
15:58:07:306   ROP (re-order ppoint) n.addTail:  END                                                                   :0.000889
15:58:07:311   Proposed Stock Purchase n.addTail:  START
15:58:07:311    Proposed Stock Purchase n.addLink:  START
15:58:07:311    Proposed Stock Purchase n.addLink:  END: 7                                                             :0.000053
15:58:07:311   Proposed Stock Purchase n.addTail:  END                                                                 :0.000855
15:58:07:311   Budget COS.addChild:  START
15:58:07:311    Budget COS.addLink:  START
15:58:07:311    Budget COS.addLink:  END: 2                                                                            :0.000052
15:58:07:311   Budget COS.addChild:  END                                                                               :0.000472
15:58:07:316   Weeks stock on hand.addChild:  START
15:58:07:316    Weeks stock on hand.addLink:  START
15:58:07:316     First Element: Weeks stock on hand n                                                                  :0.000031
15:58:07:316    Weeks stock on hand.addLink:  END: 1                                                                   :0.000091
15:58:07:316   Weeks stock on hand.addChild:  END                                                                      :0.000515
15:58:07:316   Opening stock.addChild:  START
15:58:07:316    Opening stock.addLink:  START
15:58:07:316    Opening stock.addLink:  END: 3                                                                         :0.000053
15:58:07:316   Opening stock.addChild:  END                                                                            :0.000474
15:58:07:316   Actual COS.addChild:  START
15:58:07:316    Actual COS.addLink:  START
15:58:07:316    Actual COS.addLink:  END: 3                                                                            :0.000051
15:58:07:316   Actual COS.addChild:  END                                                                               :0.000472
15:58:07:316   Actual COS.addChild:  START
15:58:07:321    Actual COS.addLink:  START
15:58:07:321    Actual COS.addLink:  END: 4                                                                            :0.000051
15:58:07:321   Actual COS.addChild:  END                                                                               :0.000488
15:58:07:321   Opening stock.addChild:  START
15:58:07:321    Opening stock.addLink:  START
15:58:07:321    Opening stock.addLink:  END: 4                                                                         :0.000051
15:58:07:321   Opening stock.addChild:  END                                                                            :0.000478
15:58:07:321   Opening stock n-3.addTail:  START
15:58:07:321    Opening stock n-3.addLink:  START
15:58:07:321     First Element: Curved Connector 97                                                                    :0.000032
15:58:07:321    Opening stock n-3.addLink:  END: 1                                                                     :0.000092
15:58:07:321   Opening stock n-3.addTail:  END                                                                         :0.000886
15:58:07:326   Weeks stock on hand n.addTail:  START
15:58:07:326    Weeks stock on hand n.addLink:  START
15:58:07:326     First Element: Curved Connector 97                                                                    :0.000031
15:58:07:326    Weeks stock on hand n.addLink:  END: 1                                                                 :0.000091
15:58:07:326   Weeks stock on hand n.addTail:  END                                                                     :0.000889
15:58:07:326   Opening stock n-2.addTail:  START
15:58:07:326    Opening stock n-2.addLink:  START
15:58:07:326     First Element: Curved Connector 100                                                                   :0.000031
15:58:07:326    Opening stock n-2.addLink:  END: 1                                                                     :0.000092
15:58:07:326   Opening stock n-2.addTail:  END                                                                         :0.000892
15:58:07:326   Weeks stock on hand n.addTail:  START
15:58:07:331    Weeks stock on hand n.addLink:  START
15:58:07:331    Weeks stock on hand n.addLink:  END: 2                                                                 :0.000070
15:58:07:331   Weeks stock on hand n.addTail:  END                                                                     :0.000870
15:58:07:331   Opening stock n-1.addTail:  START
15:58:07:331    Opening stock n-1.addLink:  START
15:58:07:331    Opening stock n-1.addLink:  END: 2                                                                     :0.000052
15:58:07:331   Opening stock n-1.addTail:  END                                                                         :0.000849
15:58:07:331   Weeks stock on hand n.addTail:  START
15:58:07:331    Weeks stock on hand n.addLink:  START
15:58:07:331    Weeks stock on hand n.addLink:  END: 3                                                                 :0.000052
15:58:07:331   Weeks stock on hand n.addTail:  END                                                                     :0.000849
15:58:07:336   Opening stock n.addTail:  START
15:58:07:336    Opening stock n.addLink:  START
15:58:07:336    Opening stock n.addLink:  END: 4                                                                       :0.000052
15:58:07:336   Opening stock n.addTail:  END                                                                           :0.000852
15:58:07:336   Weeks stock on hand n.addTail:  START
15:58:07:336    Weeks stock on hand n.addLink:  START
15:58:07:336    Weeks stock on hand n.addLink:  END: 4                                                                 :0.000052
15:58:07:336   Weeks stock on hand n.addTail:  END                                                                     :0.000852
15:58:07:336   Actual COS n.addTail:  START
15:58:07:341    Actual COS n.addLink:  START
15:58:07:341    Actual COS n.addLink:  END: 3                                                                          :0.000062
15:58:07:341   Actual COS n.addTail:  END                                                                              :0.000896
15:58:07:341   Weeks stock on hand n.addTail:  START
15:58:07:341    Weeks stock on hand n.addLink:  START
15:58:07:341    Weeks stock on hand n.addLink:  END: 5                                                                 :0.000054
15:58:07:341   Weeks stock on hand n.addTail:  END                                                                     :0.000857
15:58:07:341   Actual COS n-1.addTail:  START
15:58:07:341    Actual COS n-1.addLink:  START
15:58:07:341    Actual COS n-1.addLink:  END: 2                                                                        :0.000051
15:58:07:341   Actual COS n-1.addTail:  END                                                                            :0.000850
15:58:07:346   Weeks stock on hand n.addTail:  START
15:58:07:346    Weeks stock on hand n.addLink:  START
15:58:07:346    Weeks stock on hand n.addLink:  END: 6                                                                 :0.000052
15:58:07:346   Weeks stock on hand n.addTail:  END                                                                     :0.000850
15:58:07:346   Actual COS n-2.addTail:  START
15:58:07:346    Actual COS n-2.addLink:  START
15:58:07:346     First Element: Curved Connector 117                                                                   :0.000031
15:58:07:346    Actual COS n-2.addLink:  END: 1                                                                        :0.000092
15:58:07:346   Actual COS n-2.addTail:  END                                                                            :0.000892
15:58:07:346   Weeks stock on hand n.addTail:  START
15:58:07:351    Weeks stock on hand n.addLink:  START
15:58:07:351    Weeks stock on hand n.addLink:  END: 7                                                                 :0.000055
15:58:07:351   Weeks stock on hand n.addTail:  END                                                                     :0.000870
15:58:07:351   Actual COS n-3.addTail:  START
15:58:07:351    Actual COS n-3.addLink:  START
15:58:07:351     First Element: Curved Connector 121                                                                   :0.000031
15:58:07:351    Actual COS n-3.addLink:  END: 1                                                                        :0.000091
15:58:07:351   Actual COS n-3.addTail:  END                                                                            :0.000888
15:58:07:351   Weeks stock on hand n.addTail:  START
15:58:07:351    Weeks stock on hand n.addLink:  START
15:58:07:351    Weeks stock on hand n.addLink:  END: 8                                                                 :0.000053
15:58:07:351   Weeks stock on hand n.addTail:  END                                                                     :0.000852
15:58:07:351  cBlockDiagram.linkElements:  END                                                                         :0.193868
15:58:07:351 cBlockDiagram.Ws:  END                                                                                    :6.855304
15:58:07:351  : Events On                                                                                              :0.000004
15:58:07:401  : Screen On                                                                                              :0.000015
15:58:07:406  : xlCalculationManual                                                                                    :0.000012
15:58:08:506  : Screen Off                                                                                             :0.000008
15:58:08:511  : xlCalculationManual                                                                                    :0.000007
15:58:08:511  : Events Off                                                                                             :0.000003

15:58:08:511 cBlockDiagram.mNotifier_Activated:  START transfering from nothing to Actual COS
15:58:08:511  Actual COS.headBlock:  START

15:58:08:511   Actual COS.Activate:  START

15:58:08:516    cNotify.elements:  START Actual COS
15:58:08:516      Actual COS n
15:58:08:516      Actual COS n-1
15:58:08:516      Actual COS n-2
15:58:08:516      Actual COS n-3
15:58:08:516      END                                                                                                  :0.000137

15:58:08:516     Actual COS n.Activate:  START

15:58:08:521      cNotify.elements:  START Actual COS n
15:58:08:521      cNotify.elements:  END                                                                               :0.000066
15:58:08:526      cNotify.elements:  START Actual COS n
15:58:08:526        Curved Connector 21
15:58:08:526        Curved Connector 40
15:58:08:526        Curved Connector 109
15:58:08:526        END                                                                                                :0.000103

15:58:08:526       cBlockDiagramConnector.Activate:  Actual COS n to Actual Sales n

15:58:08:531        cNotify.elements:  START Curved Connector 21
15:58:08:531         Actual Sales n                                                                                    :0.000041

15:58:08:531         Actual Sales n.Activate:  START

15:58:08:536          cNotify.elements:  START Actual Sales n
15:58:08:536          cNotify.elements:  END                                                                           :0.000065
15:58:08:541          cNotify.elements:  START Actual Sales n
15:58:08:541            Curved Connector 41
15:58:08:541            END                                                                                            :0.000043

15:58:08:541           cBlockDiagramConnector.Activate:  Actual Sales n to Reserves n

15:58:08:546            cNotify.elements:  START Curved Connector 41
15:58:08:546             Reserves n                                                                                    :0.000041

15:58:08:546             Reserves n.Activate:  START

15:58:08:551              cNotify.elements:  START Reserves n
15:58:08:551              cNotify.elements:  END                                                                       :0.000062
15:58:08:556              cNotify.elements:  START Reserves n
15:58:08:556              cNotify.elements:  END                                                                       :0.000059
15:58:08:556             Reserves n.Activate:  END                                                                     :0.006171
15:58:08:556            cNotify.elements:  END                                                                         :0.008606
15:58:08:556           cBlockDiagramConnector.Activate:  END: Actual Sales n to Reserves n                             :0.012674
15:58:08:556          cNotify.elements:  END                                                                           :0.015200
15:58:08:556         Actual Sales n.Activate:  END                                                                     :0.021515
15:58:08:556        cNotify.elements:  END                                                                             :0.023940
15:58:08:556       cBlockDiagramConnector.Activate:  END: Actual COS n to Actual Sales n                               :0.027973

15:58:08:556       cBlockDiagramConnector.Activate:  Actual COS n to Reserves n

15:58:08:561        cNotify.elements:  START Curved Connector 40
15:58:08:561         Reserves n                                                                                        :0.000037
15:58:08:561        cNotify.elements:  END                                                                             :0.000111
15:58:08:561       cBlockDiagramConnector.Activate:  END: Actual COS n to Reserves n                                   :0.003821

15:58:08:561       cBlockDiagramConnector.Activate:  Actual COS n to Weeks stock on hand n

15:58:08:566        cNotify.elements:  START Curved Connector 109
15:58:08:566         Weeks stock on hand n                                                                             :0.000038

15:58:08:571         Weeks stock on hand n.Activate:  START

15:58:08:576          cNotify.elements:  START Weeks stock on hand n
15:58:08:576          cNotify.elements:  END                                                                           :0.000060
15:58:08:576          cNotify.elements:  START Weeks stock on hand n
15:58:08:576          cNotify.elements:  END                                                                           :0.000082
15:58:08:576         Weeks stock on hand n.Activate:  END                                                              :0.006281
15:58:08:576        cNotify.elements:  END                                                                             :0.009126
15:58:08:576       cBlockDiagramConnector.Activate:  END: Actual COS n to Weeks stock on hand n                        :0.012875
15:58:08:576      cNotify.elements:  END                                                                               :0.052149
15:58:08:576     Actual COS n.Activate:  END                                                                           :0.058618

15:58:08:576     Actual COS n-1.Activate:  START

15:58:08:581      cNotify.elements:  START Actual COS n-1
15:58:08:581      cNotify.elements:  END                                                                               :0.000060
15:58:08:586      cNotify.elements:  START Actual COS n-1
15:58:08:586        Curved Connector 16
15:58:08:586        Curved Connector 113
15:58:08:586        END                                                                                                :0.000075

15:58:08:586       cBlockDiagramConnector.Activate:  Actual COS n-1 to Opening stock n

15:58:08:591        cNotify.elements:  START Curved Connector 16
15:58:08:591         Opening stock n                                                                                   :0.000037

15:58:08:596         Opening stock n.Activate:  START

15:58:08:601          cNotify.elements:  START Opening stock n
15:58:08:601          cNotify.elements:  END                                                                           :0.000060
15:58:08:601          cNotify.elements:  START Opening stock n
15:58:08:601            Curved Connector 7
15:58:08:601            Curved Connector 17
15:58:08:601            Curved Connector 19
15:58:08:601            Curved Connector 106
15:58:08:601            END                                                                                            :0.000133

15:58:08:601           cBlockDiagramConnector.Activate:  Opening stock n to Proposed Stock Purchase n

15:58:08:606            cNotify.elements:  START Curved Connector 7
15:58:08:606             Proposed Stock Purchase n                                                                     :0.000037

15:58:08:611             Proposed Stock Purchase n.Activate:  START

15:58:08:616              cNotify.elements:  START Proposed Stock Purchase n
15:58:08:616              cNotify.elements:  END                                                                       :0.000061
15:58:08:616              cNotify.elements:  START Proposed Stock Purchase n
15:58:08:616                Curved Connector 12
15:58:08:616                END                                                                                        :0.000041

15:58:08:616               cBlockDiagramConnector.Activate:  Proposed Stock Purchase n to Stock Purchase n

15:58:08:621                cNotify.elements:  START Curved Connector 12
15:58:08:621                 Stock Purchase n                                                                          :0.000038

15:58:08:621                 Stock Purchase n.Activate:  START

15:58:08:626                  cNotify.elements:  START Stock Purchase n
15:58:08:626                  cNotify.elements:  END                                                                   :0.000064
15:58:08:631                  cNotify.elements:  START Stock Purchase n
15:58:08:631                    Curved Connector 46
15:58:08:631                    END                                                                                    :0.000042

15:58:08:631                   cBlockDiagramConnector.Activate:  Stock Purchase n to Actual COS n

15:58:08:636                    cNotify.elements:  START Curved Connector 46
15:58:08:636                     Actual COS n                                                                          :0.000040
15:58:08:636                    cNotify.elements:  END                                                                 :0.000116
15:58:08:636                   cBlockDiagramConnector.Activate:  END: Stock Purchase n to Actual COS n                 :0.003509
15:58:08:636                  cNotify.elements:  END                                                                   :0.005846
15:58:08:636                 Stock Purchase n.Activate:  END                                                           :0.011551
15:58:08:636                cNotify.elements:  END                                                                     :0.013775
15:58:08:636               cBlockDiagramConnector.Activate:  END: Proposed Stock Purchase n to Stock Purchase n        :0.017240
15:58:08:636              cNotify.elements:  END                                                                       :0.019851
15:58:08:636             Proposed Stock Purchase n.Activate:  END                                                      :0.025470
15:58:08:636            cNotify.elements:  END                                                                         :0.028314
15:58:08:636           cBlockDiagramConnector.Activate:  END: Opening stock n to Proposed Stock Purchase n             :0.032009

15:58:08:636           cBlockDiagramConnector.Activate:  Opening stock n to Stock Purchase n

15:58:08:641            cNotify.elements:  START Curved Connector 17
15:58:08:641             Stock Purchase n                                                                              :0.000038
15:58:08:641            cNotify.elements:  END                                                                         :0.000113
15:58:08:641           cBlockDiagramConnector.Activate:  END: Opening stock n to Stock Purchase n                      :0.003596

15:58:08:641           cBlockDiagramConnector.Activate:  Opening stock n to Actual COS n

15:58:08:646            cNotify.elements:  START Curved Connector 19
15:58:08:646             Actual COS n                                                                                  :0.000038
15:58:08:646            cNotify.elements:  END                                                                         :0.000114
15:58:08:646           cBlockDiagramConnector.Activate:  END: Opening stock n to Actual COS n                          :0.003673

15:58:08:651           cBlockDiagramConnector.Activate:  Opening stock n to Weeks stock on hand n

15:58:08:651            cNotify.elements:  START Curved Connector 106
15:58:08:651             Weeks stock on hand n                                                                         :0.000037
15:58:08:651            cNotify.elements:  END                                                                         :0.000116
15:58:08:651           cBlockDiagramConnector.Activate:  END: Opening stock n to Weeks stock on hand n                 :0.003516
15:58:08:651          cNotify.elements:  END                                                                           :0.052309
15:58:08:651         Opening stock n.Activate:  END                                                                    :0.058692
15:58:08:651        cNotify.elements:  END                                                                             :0.061605
15:58:08:651       cBlockDiagramConnector.Activate:  END: Actual COS n-1 to Opening stock n                            :0.065317

15:58:08:656       cBlockDiagramConnector.Activate:  Actual COS n-1 to Weeks stock on hand n

15:58:08:661        cNotify.elements:  START Curved Connector 113
15:58:08:661         Weeks stock on hand n                                                                             :0.000040
15:58:08:661        cNotify.elements:  END                                                                             :0.000123
15:58:08:661       cBlockDiagramConnector.Activate:  END: Actual COS n-1 to Weeks stock on hand n                      :0.003809
15:58:08:661      cNotify.elements:  END                                                                               :0.074012
15:58:08:661     Actual COS n-1.Activate:  END                                                                         :0.080695

15:58:08:661     Actual COS n-2.Activate:  START

15:58:08:666      cNotify.elements:  START Actual COS n-2
15:58:08:666      cNotify.elements:  END                                                                               :0.000069
15:58:08:666      cNotify.elements:  START Actual COS n-2
15:58:08:666        Curved Connector 117
15:58:08:666        END                                                                                                :0.000041

15:58:08:671       cBlockDiagramConnector.Activate:  Actual COS n-2 to Weeks stock on hand n

15:58:08:671        cNotify.elements:  START Curved Connector 117
15:58:08:671         Weeks stock on hand n                                                                             :0.000036
15:58:08:671        cNotify.elements:  END                                                                             :0.000111
15:58:08:671       cBlockDiagramConnector.Activate:  END: Actual COS n-2 to Weeks stock on hand n                      :0.003491
15:58:08:671      cNotify.elements:  END                                                                               :0.005827
15:58:08:671     Actual COS n-2.Activate:  END                                                                         :0.011504

15:58:08:676     Actual COS n-3.Activate:  START

15:58:08:681      cNotify.elements:  START Actual COS n-3
15:58:08:681      cNotify.elements:  END                                                                               :0.000058
15:58:08:681      cNotify.elements:  START Actual COS n-3
15:58:08:681        Curved Connector 121
15:58:08:681        END                                                                                                :0.000041

15:58:08:681       cBlockDiagramConnector.Activate:  Actual COS n-3 to Weeks stock on hand n

15:58:08:686        cNotify.elements:  START Curved Connector 121
15:58:08:686         Weeks stock on hand n                                                                             :0.000036
15:58:08:686        cNotify.elements:  END                                                                             :0.000111
15:58:08:686       cBlockDiagramConnector.Activate:  END: Actual COS n-3 to Weeks stock on hand n                      :0.003494
15:58:08:686      cNotify.elements:  END                                                                               :0.005807
15:58:08:686     Actual COS n-3.Activate:  END                                                                         :0.011272
15:58:08:686    cNotify.elements:  END                                                                                 :0.171337
15:58:08:686    cNotify.elements:  START Actual COS
15:58:08:686    cNotify.elements:  END                                                                                 :0.000052
15:58:08:686   Actual COS.Activate:  END                                                                               :0.174137
15:58:08:686  Actual COS.headBlock:  END                                                                               :0.175850
15:58:08:686 cBlockDiagram.mNotifier_Activated:  END                                                                   :0.177538
15:58:08:686  : Events On                                                                                              :0.000003
15:58:08:691  : Screen On                                                                                              :0.000008
15:58:08:696  : xlCalculationManual                                                                                    :0.000006
15:58:08:960  : Screen Off                                                                                             :0.000010
15:58:08:960  : xlCalculationManual                                                                                    :0.000007
15:58:08:960  : Events Off                                                                                             :0.000005

15:58:08:965 cBlockDiagram.mNotifier_Activated:  START transfering from Actual COS to Stock Purchase n
15:58:08:965  Actual COS.headBlock:  START
15:58:08:965   Actual COS.deActivate:  START
15:58:08:965    cNotify.elements:  START Actual COS
15:58:08:965      Actual COS n
15:58:08:965      Actual COS n-1
15:58:08:965      Actual COS n-2
15:58:08:965      Actual COS n-3
15:58:08:965      END                                                                                                  :0.000132
15:58:08:970     Actual COS n.deActivate:  START
15:58:08:970      cNotify.elements:  START Actual COS n
15:58:08:975      cNotify.elements:  END                                                                               :0.000101
15:58:08:975      cNotify.elements:  START Actual COS n
15:58:08:975        Curved Connector 21
15:58:08:975        Curved Connector 40
15:58:08:975        Curved Connector 109
15:58:08:975        END                                                                                                :0.000105
15:58:08:975       cBlockDiagramConnector.deActivate:  Actual Sales n
15:58:08:980        cNotify.elements:  START Curved Connector 21
15:58:08:980         Actual Sales n                                                                                    :0.000038
15:58:08:985         Actual Sales n.deActivate:  START
15:58:08:990          cNotify.elements:  START Actual Sales n
15:58:08:990          cNotify.elements:  END                                                                           :0.000096
15:58:08:990          cNotify.elements:  START Actual Sales n
15:58:08:990            Curved Connector 41
15:58:08:990            END                                                                                            :0.000078
15:58:08:995           cBlockDiagramConnector.deActivate:  Reserves n
15:58:09:000            cNotify.elements:  START Curved Connector 41
15:58:09:000             Reserves n                                                                                    :0.000076
15:58:09:005             Reserves n.deActivate:  START
15:58:09:010              cNotify.elements:  START Reserves n
15:58:09:010              cNotify.elements:  END                                                                       :0.000074
15:58:09:010              cNotify.elements:  START Reserves n
15:58:09:010              cNotify.elements:  END                                                                       :0.000060
15:58:09:010             Reserves n.deActivate:  END                                                                   :0.006270
15:58:09:010            cNotify.elements:  END                                                                         :0.010034
15:58:09:010           cBlockDiagramConnector.deActivate:  END: Reserves n                                             :0.017226
15:58:09:010          cNotify.elements:  END                                                                           :0.019945
15:58:09:010         Actual Sales n.deActivate:  END                                                                   :0.027191
15:58:09:010        cNotify.elements:  END                                                                             :0.031474
15:58:09:010       cBlockDiagramConnector.deActivate:  END: Actual Sales n                                             :0.035055
15:58:09:015       cBlockDiagramConnector.deActivate:  Reserves n
15:58:09:020        cNotify.elements:  START Curved Connector 40
15:58:09:020         Reserves n                                                                                        :0.000050
15:58:09:020        cNotify.elements:  END                                                                             :0.000137
15:58:09:020       cBlockDiagramConnector.deActivate:  END: Reserves n                                                 :0.006033
15:58:09:020       cBlockDiagramConnector.deActivate:  Weeks stock on hand n
15:58:09:025        cNotify.elements:  START Curved Connector 109
15:58:09:025         Weeks stock on hand n                                                                             :0.000047
15:58:09:030         Weeks stock on hand n.deActivate:  START
15:58:09:030          cNotify.elements:  START Weeks stock on hand n
15:58:09:030          cNotify.elements:  END                                                                           :0.000067
15:58:09:035          cNotify.elements:  START Weeks stock on hand n
15:58:09:035          cNotify.elements:  END                                                                           :0.000056
15:58:09:035         Weeks stock on hand n.deActivate:  END                                                            :0.003998
15:58:09:035        cNotify.elements:  END                                                                             :0.006906
15:58:09:035       cBlockDiagramConnector.deActivate:  END: Weeks stock on hand n                                      :0.011992
15:58:09:035      cNotify.elements:  END                                                                               :0.058053
15:58:09:035     Actual COS n.deActivate:  END                                                                         :0.063449
15:58:09:035     Actual COS n-1.deActivate:  START
15:58:09:040      cNotify.elements:  START Actual COS n-1
15:58:09:040      cNotify.elements:  END                                                                               :0.000067
15:58:09:040      cNotify.elements:  START Actual COS n-1
15:58:09:040        Curved Connector 16
15:58:09:040        Curved Connector 113
15:58:09:040        END                                                                                                :0.000072
15:58:09:040       cBlockDiagramConnector.deActivate:  Opening stock n
15:58:09:045        cNotify.elements:  START Curved Connector 16
15:58:09:045         Opening stock n                                                                                   :0.000036
15:58:09:045         Opening stock n.deActivate:  START
15:58:09:050          cNotify.elements:  START Opening stock n
15:58:09:050          cNotify.elements:  END                                                                           :0.000065
15:58:09:050          cNotify.elements:  START Opening stock n
15:58:09:050            Curved Connector 7
15:58:09:050            Curved Connector 17
15:58:09:050            Curved Connector 19
15:58:09:050            Curved Connector 106
15:58:09:050            END                                                                                            :0.000132
15:58:09:050           cBlockDiagramConnector.deActivate:  Proposed Stock Purchase n
15:58:09:055            cNotify.elements:  START Curved Connector 7
15:58:09:055             Proposed Stock Purchase n                                                                     :0.000040
15:58:09:055             Proposed Stock Purchase n.deActivate:  START
15:58:09:060              cNotify.elements:  START Proposed Stock Purchase n
15:58:09:060              cNotify.elements:  END                                                                       :0.000059
15:58:09:060              cNotify.elements:  START Proposed Stock Purchase n
15:58:09:060                Curved Connector 12
15:58:09:060                END                                                                                        :0.000041
15:58:09:060               cBlockDiagramConnector.deActivate:  Stock Purchase n
15:58:09:065                cNotify.elements:  START Curved Connector 12
15:58:09:065                 Stock Purchase n                                                                          :0.000039
15:58:09:065                 Stock Purchase n.deActivate:  START
15:58:09:070                  cNotify.elements:  START Stock Purchase n
15:58:09:070                  cNotify.elements:  END                                                                   :0.000065
15:58:09:070                  cNotify.elements:  START Stock Purchase n
15:58:09:070                    Curved Connector 46
15:58:09:070                    END                                                                                    :0.000041
15:58:09:070                   cBlockDiagramConnector.deActivate:  Actual COS n
15:58:09:075                    cNotify.elements:  START Curved Connector 46
15:58:09:075                     Actual COS n                                                                          :0.000039
15:58:09:075                    cNotify.elements:  END                                                                 :0.000116
15:58:09:075                   cBlockDiagramConnector.deActivate:  END: Actual COS n                                   :0.003883
15:58:09:075                  cNotify.elements:  END                                                                   :0.005224
15:58:09:075                 Stock Purchase n.deActivate:  END                                                         :0.009161
15:58:09:075                cNotify.elements:  END                                                                     :0.011377
15:58:09:075               cBlockDiagramConnector.deActivate:  END: Stock Purchase n                                   :0.015114
15:58:09:075              cNotify.elements:  END                                                                       :0.016390
15:58:09:075             Proposed Stock Purchase n.deActivate:  END                                                    :0.019947
15:58:09:075            cNotify.elements:  END                                                                         :0.022153
15:58:09:075           cBlockDiagramConnector.deActivate:  END: Proposed Stock Purchase n                              :0.025690
15:58:09:080           cBlockDiagramConnector.deActivate:  Stock Purchase n
15:58:09:080            cNotify.elements:  START Curved Connector 17
15:58:09:080             Stock Purchase n                                                                              :0.000036
15:58:09:080            cNotify.elements:  END                                                                         :0.000111
15:58:09:080           cBlockDiagramConnector.deActivate:  END: Stock Purchase n                                       :0.003499
15:58:09:085           cBlockDiagramConnector.deActivate:  Actual COS n
15:58:09:085            cNotify.elements:  START Curved Connector 19
15:58:09:085             Actual COS n                                                                                  :0.000042
15:58:09:085            cNotify.elements:  END                                                                         :0.000125
15:58:09:085           cBlockDiagramConnector.deActivate:  END: Actual COS n                                           :0.003851
